Title,Budget,Revenue,Certification,Release_Year
Donnie Darko,,,,2001
Citizen Kane,,,,2001
Planet of the Apes,,,,2001
Forrest Gump,,,,2001
Harry Potter and the Philosopher's Stone,,,,2001
The Lord of the Rings: The Fellowship of the Ring,,,,2001
Shrek,,,,2001
"Monsters, Inc.",,,,2001
Black Hawk Down,,,,2001
Snatch,,,,2001
Carrie,,,,2001
The Mummy Returns,,,,2001
Ocean's Eleven,,,,2001
Snow White and the Seven Dwarfs,,,,2001
Mulholland Drive,,,,2001
Apocalypse Now,,,,2001
The Crow,,,,2001
Die Hard,,,,2001
Scary Movie 2,,,,2001
Scary Movie,,,,2001
Dumbo,,,,2001
Star Wars: Episode I - The Phantom Menace,,,,2001
Jeepers Creepers,,,,2001
Pearl Harbor,,,,2001
Legally Blonde,,,,2001
A.I. Artificial Intelligence,,,,2001
Evolution,,,,2001
Amélie,,,,2001
Rush Hour 2,,,,2001
Hollow Man,,,,2001
Full Metal Jacket,,,,2001
Thir13en Ghosts,,,,2001
The Princess Diaries,,,,2001
How the Grinch Stole Christmas,,,,2001
Malena,,,,2001
American Pie 2,,,,2001
Not Another Teen Movie,,,,2001
Memento,,,,2001
Dressed to Kill,,,,2001
In the Mood for Love,,,,2001
Zoolander,,,,2001
Original Sin,,,,2001
Training Day,,,,2001
Spy Kids,,,,2001
The Mask of Zorro,,,,2001
K-PAX,,,,2001
Moulin Rouge!,,,,2001
The Others,,,,2001
Shallow Hal,,,,2001
Enemy at the Gates,,,,2001
Blow,,,,2001
Amores Perros,,,,2001
Zebra Lounge,,,,2001
Lara Croft: Tomb Raider,,,,2001
Miss Congeniality,,,,2001
Pokémon 3: The Movie,,,,2001
Bridget Jones's Diary,,,,2001
Vanilla Sky,,,,2001
Storytelling,,,,2001
Swordfish,,,,2001
Super Troopers,,,,2001
"O Brother, Where Art Thou?",,,,2001
Rat Race,,,,2001
Barbie in the Nutcracker,,,,2001
Lady and the Tramp II: Scamp's Adventure,,,,2001
Monty Python and the Holy Grail,,,,2001
Bedazzled,,,,2001
Exit Wounds,,,,2001
Case Closed: Countdown to Heaven,,,,2001
Cats & Dogs,,,,2001
Osmosis Jones,,,,2001
Atlantis: The Lost Empire,,,,2001
A Knight's Tale,,,,2001
Behind Enemy Lines,,,,2001
The Pledge,,,,2001
Serendipity,,,,2001
Rope,,,,2001
Hearts in Atlantis,,,,2001
The Gift,,,,2001
Dancer in the Dark,,,,2001
The Last Castle,,,,2001
Empire of the Sun,,,,2001
Along Came a Spider,,,,2001
Star Trek: The Motion Picture,,,,2001
Scooby-Doo! and the Witch's Ghost,,,,2001
Ghosts of Mars,,,,2001
Dr. Dolittle 2,,,,2001
Tremors 3: Back to Perfection,,,,2001
How High,,,,2001
Jimmy Neutron: Boy Genius,,,,2001
Session 9,,,,2001
Black Knight,,,,2001
Aśoka,,,,2001
Pokémon: Mewtwo Returns,,,,2001
Driven,,,,2001
Kiss of the Dragon,,,,2001
Scooby-Doo! and the Cyber Chase,,,,2001
American Outlaws,,,,2001
Ginger Snaps,,,,2001
The Majestic,,,,2001
Gosford Park,,,,2001
The Royal Tenenbaums,,,,2001
Chocolat,,,,2001
Replicant,,,,2001
Intimacy,,,,2001
Frailty,,,,2001
Joy Ride,,,,2001
Rock Star,,,,2001
Vampire Hunter D: Bloodlust,,,,2001
The Mexican,,,,2001
The Animal,,,,2001
The Tailor of Panama,,,,2001
The One,,,,2001
I Am Sam,,,,2001
The 6th Day,,,,2001
Just Visiting,,,,2001
Jin-Roh: The Wolf Brigade,,,,2001
Heist,,,,2001
Gentlemen Prefer Blondes,,,,2001
Hardball,,,,2001
Sexy Beast,,,,2001
Joe Dirt,,,,2001
Recess: School's Out,,,,2001
Tomcats,,,,2001
Ali,,,,2001
Bubble Boy,,,,2001
Final Fantasy: The Spirits Within,,,,2001
Monster's Ball,,,,2001
Don't Say a Word,,,,2001
Finding Forrester,,,,2001
Cruel Intentions 2,,,,2001
Waking Life,,,,2001
Kate & Leopold,,,,2001
Iron Monkey,,,,2001
Josie and the Pussycats,,,,2001
Jay and Silent Bob Strike Back,,,,2001
The Forsaken,,,,2001
Valentine,,,,2001
Captain Corelli's Mandolin,,,,2001
Rugrats in Paris: The Movie,,,,2001
The Wedding Planner,,,,2001
Audition,,,,2001
Angel Eyes,,,,2001
The Crimson Rivers,,,,2001
Crazy/Beautiful,,,,2001
Python,,,,2001
Crocodile Dundee in Los Angeles,,,,2001
From Hell,,,,2001
Sweet November,,,,2001
Bully,,,,2001
Bandits,,,,2001
Mickey's Magical Christmas: Snowed in at the House of Mouse,,,,2001
Wishmaster 3: Beyond the Gates of Hell,,,,2001
The Score,,,,2001
Hedwig and the Angry Inch,,,,2001
Birthday Girl,,,,2001
The Crow: Salvation,,,,2001
Ghost World,,,,2001
Pootie Tang,,,,2001
Sugar & Spice,,,,2001
Cure,,,,2001
In the Bedroom,,,,2001
Monkeybone,,,,2001
Get Over It,,,,2001
Spy Game,,,,2001
Saving Silverman,,,,2001
Krocodylus,,,,2001
America's Sweethearts,,,,2001
The Million Dollar Hotel,,,,2001
The Brothers,,,,2001
Lost and Delirious,,,,2001
Out Cold,,,,2001
Heartbreakers,,,,2001
The Order,,,,2001
Save the Last Dance,,,,2001
Zardoz,,,,2001
Corky Romano,,,,2001
The Man Who Wasn't There,,,,2001
